1994,68060,Motorola,50 MHz,32,600 nm,2.5,
1994,Alpha 21064A,DEC,200–300 MHz,64,500 nm,2.85,
1994,R4600,QED,100–125 MHz,64,650 nm,2.2,
1994,PA-7200,Hewlett Packard,125 MHz,32,550 nm,1.26,
1994,PowerPC 603,"IBM, Motorola",60–120 MHz,32,500 nm,1.6,
1994,PowerPC 604,"IBM, Motorola",100–180 MHz,32,500 nm,3.6,
1994,PA-7100LC,Hewlett Packard,100 MHz,32,750 nm,0.90,
1995,Alpha 21164,DEC,266–333 MHz,64,500 nm,9.3,
1995,UltraSPARC,Sun,143–167 MHz,64,470 nm,5.2,
1995,SPARC64,HAL Computer Systems,101–118 MHz,64,400 nm,-,
1995,Pentium Pro,Intel,150–200 MHz,32,350 nm,5.5,
1996,Alpha 21164A,DEC,400–500 MHz,64,350 nm,9.7,
1996,K5,AMD,75–100 MHz,32,500 nm,4.3,
1996,R10000,MTI,150–250 MHz,64,350 nm,6.7,
1996,R5000,QED,180–250 MHz,-,350 nm,3.7,
1996,SPARC64 II,HAL Computer Systems,141–161 MHz,64,350 nm,-,
1996,PA-8000,Hewlett-Packard,160–180 MHz,64,500 nm,3.8,
1996,P2SC,IBM,150 MHz,32,290 nm,15,
1997,SH-4,Hitachi,200 MHz,-,200 nm[47],10[48],
1997,RS64,IBM,125 MHz,64,? nm,?,
1997,Pentium II,Intel,233–300 MHz,32,350 nm,7.5,
1997,PowerPC 620,"IBM, Motorola",120–150 MHz,64,350 nm,6.9,
1997,UltraSPARC IIs,Sun,250–400 MHz,64,350 nm,5.4,
1997,S/390 G4,IBM,370 MHz,32,500 nm,7.8,
1997,PowerPC 750,"IBM, Motorola",233–366 MHz,32,260 nm,6.35,
1997,K6,AMD,166–233 MHz,32,350 nm,8.8,
1998,RS64-II,IBM,262 MHz,64,350 nm,12.5,
1998,Alpha 21264,DEC,450–600 MHz,64,350 nm,15.2,
1998,MIPS R12000,SGI,270–400 MHz,64,250–180 nm,6.9,
1998,RM7000,QED,250–300 MHz,-,250 nm,18,
1998,SPARC64 III,HAL Computer Systems,250–330 MHz,64,240 nm,17.6,
1998,S/390 G5,IBM,500 MHz,32,250 nm,25,
1998,PA-8500,Hewlett Packard,300–440 MHz,64,250 nm,140,
1998,POWER3,IBM,200 MHz,64,250 nm,15,
1999,Emotion Engine,"Sony, Toshiba",294–300 MHz,-,180–65 nm[49],13.5[50],
1999,Pentium III,Intel,450–600 MHz,32,250 nm,9.5,
1999,RS64-III,IBM,450 MHz,64,220 nm,34,2
1999,PowerPC 7400,Motorola,350–500 MHz,32,200–130 nm,10.5,
1999,Athlon,AMD,500–1000 MHz,32,250 nm,22,
2000,Athlon XP,AMD,1.33–1.73 GHz,180 nm,37.5,1 / 1
2000,Duron,AMD,550 MHz–1.3 GHz,180 nm,25,1 / 1
2000,RS64-IV,IBM,600–750 MHz,180 nm,44,1 / 2
2000,Pentium 4,Intel,1.3–2 GHz,180–130 nm,42,1 / 1
2000,SPARC64 IV,Fujitsu,450–810 MHz,130 nm,-,1 / 1
2000,z900,IBM,918 MHz,180 nm,47,"1 / 12, 20"
2001,MIPS R14000,SGI,500–600 MHz,130 nm,7.2,1 / 1
2001,POWER4,IBM,1.1–1.4 GHz,180–130 nm,174,"2 / 1, 4"
2001,UltraSPARC III,Sun,750–1200 MHz,130 nm,29,1 / 1
2001,Itanium,Intel,733–800 MHz,180 nm,25,1 / 1
2001,PowerPC 7450,Motorola,733–800 MHz,180–130 nm,33,1 / 1
2002,SPARC64 V,Fujitsu,1.1–1.35 GHz,130 nm,190,1 / 1
2002,Itanium 2,Intel,0.9–1 GHz,180 nm,410,1 / 1
2003,PowerPC 970,IBM,1.6–2.0 GHz,130–90 nm,52,1 / 1
2003,Pentium M,Intel,0.9–1.7 GHz,130–90 nm,77,1 / 1
2003,Opteron,AMD,1.4–2.4 GHz,130 nm,106,1 / 1
2004,POWER5,IBM,1.65–1.9 GHz,130–90 nm,276,"2 / 1, 2, 4"
2004,PowerPC BGL,IBM,700 MHz,130 nm,95,2 / 1
2005,"Opteron ""Athens""",AMD,1.6–3.0 GHz,90 nm,114,1 / 1
2005,Pentium D,Intel,2.8–3.2 GHz,90 nm,115,1 / 2
2005,Athlon 64 X2,AMD,2–2.4 GHz,90 nm,243,2 / 1
2005,PowerPC 970MP,IBM,1.2–2.5 GHz,90 nm,183,2 / 1
2005,UltraSPARC IV,Sun,1.05–1.35 GHz,130 nm,66,2 / 1
2005,UltraSPARC T1,Sun,1–1.4 GHz,90 nm,300,8 / 1
2005,Xenon,IBM,3.2 GHz,90–45 nm,165,3 / 1
2006,Core Duo,Intel,1.1–2.33 GHz,90–65 nm,151,2 / 1
2006,Core 2,Intel,1.06–2.67 GHz,65–45 nm,291,"2 / 1, 2"
2006,Cell/B.E.,"IBM, Sony, Toshiba",3.2–4.6 GHz,90–45 nm,241,1+8 / 1
2006,"Itanium ""Montecito""",Intel,1.4–1.6 GHz,90 nm,1720,2 / 1
2007,POWER6,IBM,3.5–4.7 GHz,65 nm,790,2 / 1
2007,SPARC64 VI,Fujitsu,2.15–2.4 GHz,90 nm,543,2 / 1
2007,UltraSPARC T2,Sun,1–1.4 GHz,65 nm,503,8 / 1
2007,TILE64,Tilera,600–900 MHz,90–45 nm,?,64 / 1
2007,"Opteron ""Barcelona""",AMD,1.8–3.2 GHz,65 nm,463,4 / 1
2007,PowerPC BGP,IBM,850 MHz,90 nm,208,4 / 1
2008,Phenom,AMD,1.8–2.6 GHz,65 nm,450,"2, 3, 4 / 1"
2008,z10,IBM,4.4 GHz,65 nm,993,4 / 7
2008,PowerXCell 8i,IBM,2.8–4.0 GHz,65 nm,250,1+8 / 1
2008,SPARC64 VII,Fujitsu,2.4–2.88 GHz,65 nm,600,4 / 1
2008,Atom,Intel,0.8–1.6 GHz,65–45 nm,47,1 / 1
2008,Core i7,Intel,2.66–3.2 GHz,45–32 nm,730,"2, 4, 6 / 1"
2008,TILEPro64,Tilera,600–866 MHz,90–45 nm,?,64 / 1
2008,"Opteron ""Shanghai""",AMD,2.3–2.9 GHz,45 nm,751,4 / 1
2009,Phenom II,AMD,2.5–3.2 GHz,45 nm,758,"2, 3, 4, 6 / 1"
2009,"Opteron ""Istanbul""",AMD,2.2–2.8 GHz,45 nm,904,6 / 1
2010,POWER7,IBM,3–4.14 GHz,45 nm,1200,"4, 6, 8 / 1, 4",4
2010,"Itanium ""Tukwila""",Intel,2 GHz,65 nm,2000,"2, 4 / 1",2
2010,"Opteron ""Magny-cours""",AMD,1.7–2.4 GHz,45 nm,1810,"4, 6 / 2",1
2010,"Xeon ""Nehalem-EX""",Intel,1.73–2.66 GHz,45 nm,2300,"4, 6, 8 / 1",2
2010,z196,IBM,3.8–5.2 GHz,45 nm,1400,"4 / 1, 6",1
2010,SPARC T3,Sun,1.6 GHz,45 nm,2000,16 / 1,8
2010,SPARC64 VII+,Fujitsu,2.66–3.0 GHz,45 nm,?,4 / 1,2
2010,"Intel ""Westmere""",Intel,1.86–3.33 GHz,32 nm,1170,4–6 / 1,2
2011,"Intel ""Sandy Bridge""",Intel,1.6–3.4 GHz,32 nm,995[51],"2, 4 / 1","(1,) 2"
2011,AMD Llano,AMD,1.0–1.6 GHz,40 nm,380[52],"1, 2 / 1",1
2011,Xeon E7,Intel,1.73–2.67 GHz,32 nm,2600,"4, 6, 8, 10 / 1",1–2
2011,Power ISA BGQ,IBM,1.6 GHz,45 nm,1470,18 / 1,4
2011,SPARC64 VIIIfx,Fujitsu,2.0 GHz,45 nm,760,8 / 1,2
2011,"FX ""Bulldozer"" Interlagos",AMD,3.1–3.6 GHz,32 nm,1200[53],4–8 / 2,1
2011,SPARC T4,Oracle,2.8–3 GHz,40 nm,855,8 / 1,8
2012,SPARC64 IXfx,Fujitsu,1.848 GHz,40 nm,1870,16 / 1,2
2012,zEC12,IBM,5.5 GHz,32 nm,2750,6 / 6,1
2012,POWER7+,IBM,3.1–5.3 GHz,32 nm,2100,"8 / 1, 2",4
2012,"Itanium ""Poulson""",Intel,1.73–2.53 GHz,32 nm,3100,8 / 1,2
2013,"Intel ""Haswell""",Intel,1.9–4.4 GHz,22 nm,1400,4 / 1,2
2013,SPARC64 X,Fujitsu,2.8–3 GHz,28 nm,2950,16 / 1,2
2013,SPARC T5,Oracle,3.6 GHz,28 nm,1500,16 / 1,8
2014,POWER8,IBM,2.5–5 GHz,22 nm,4200,"6, 12 / 1, 2",8
2014,"Intel ""Broadwell""",Intel,1.8-4 GHz,14 nm,1900,"2, 4, 6, 8, 12, 16 / 1, 2, 4",2
2015,z13,IBM,5 GHz,22 nm,3990,8 / 1,2
2015,A8-7670K,AMD,3.6 GHz,28 nm,2410,4 / 1,1
2017,Zen,AMD,3.2–4.1 GHz,14 nm,4800,"8, 16, 32 / 1, 2, 4",2
2017,z14,IBM,5.2 GHz,14 nm,6100,10 / 1,2
2017,POWER9,IBM,4 GHz,14 nm,8000,"12, 24 / 1","4, 8"
2017,SPARC M8[54],Oracle,5 GHz,20 nm,"~10,000[55]",32,8
2018,"Intel ""Cannon Lake""",Intel,2.2-3.2 GHz,10 nm,?,2 / 1,2
2018,Zen+,AMD,2.8-3.7 GHz,12 nm,4800,"2, 4, 6, 8, 12, 16, 24, 32 / 1, 2, 4","1, 2"
2019,Zen 2,AMD,2-4.7 GHz,7 nm,3900,"6, 8, 12, 16, 24, 32, 64 / 1, 2, 4",2
2019,z15,IBM,5.2 GHz,14 nm,9200,12 / 1,2
2020,Zen 3,AMD,3.4–4.9 GHz,7 nm,?,"6, 8, 12, 16 /",2
2020,M1,Apple,3.2 GHz,5 nm,16000,8,1
